window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
1870,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.20095324516296387,19,21
1880,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.21828722953796387,19,21
1890,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.18418526649475098,19,21
1900,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.1542680263519287,16,18
1910,18,0,2,1.0,0.9,0.9473684210526316,0.20596981048583984,18,20
1920,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.2750837802886963,19,21
1930,23,0,2,1.0,0.92,0.9583333333333334,0.20753216743469238,23,25
1940,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.2379598617553711,24,26
1950,22,0,2,1.0,0.9166666666666666,0.9565217391304348,0.2198469638824463,22,24
1960,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.2209928035736084,20,22
1970,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.19464945793151855,19,21
1980,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.20036077499389648,19,21
1990,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.21095943450927734,19,21
2000,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.1920909881591797,19,21
2010,18,0,2,1.0,0.9,0.9473684210526316,0.15826010704040527,18,20
2020,18,0,2,1.0,0.9,0.9473684210526316,0.153916597366333,18,20
2030,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.16001033782958984,19,21
2040,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.1612098217010498,19,21
2050,18,0,2,1.0,0.9,0.9473684210526316,0.16039395332336426,18,20
2060,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.1445319652557373,17,19
2070,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.1458427906036377,17,19
2080,15,0,2,1.0,0.8823529411764706,0.9375,0.12989401817321777,15,17
2090,15,0,2,1.0,0.8823529411764706,0.9375,0.12915515899658203,15,17
2100,13,0,2,1.0,0.8666666666666667,0.9285714285714286,0.11539769172668457,13,15
2110,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.11415863037109375,13,14
2120,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.12377333641052246,14,15
2130,14,0,0,1.0,1.0,1.0,0.12348604202270508,14,14
2140,14,0,0,1.0,1.0,1.0,0.12675905227661133,14,14
2150,14,0,0,1.0,1.0,1.0,0.1363234519958496,14,14
2160,14,0,0,1.0,1.0,1.0,0.15391302108764648,14,14
2170,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.17850184440612793,18,19
2180,25,0,1,1.0,0.9615384615384616,0.9803921568627451,0.21875715255737305,25,26
2190,23,0,1,1.0,0.9583333333333334,0.9787234042553191,0.1981503963470459,23,24
2200,27,0,1,1.0,0.9642857142857143,0.9818181818181818,0.23624300956726074,27,28
2210,24,0,1,1.0,0.96,0.9795918367346939,0.1991863250732422,24,25
2220,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.21541619300842285,25,27
2230,33,0,1,1.0,0.9705882352941176,0.9850746268656716,0.27083396911621094,33,34
2240,33,0,2,1.0,0.9428571428571428,0.9705882352941176,0.262282133102417,33,35
2250,33,0,1,1.0,0.9705882352941176,0.9850746268656716,0.26749420166015625,33,34
2260,34,0,1,1.0,0.9714285714285714,0.9855072463768115,0.29471278190612793,34,35
2270,27,0,0,1.0,1.0,1.0,0.2681560516357422,27,27
2280,20,0,0,1.0,1.0,1.0,0.1790313720703125,20,20
2290,24,0,1,1.0,0.96,0.9795918367346939,0.19752931594848633,24,25
2300,23,0,1,1.0,0.9583333333333334,0.9787234042553191,0.18637990951538086,23,24
2310,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.18587899208068848,22,23
2320,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.17411041259765625,21,22
2330,20,0,1,1.0,0.9523809523809523,0.975609756097561,0.16890811920166016,20,21
2340,21,0,1,1.0,0.9545454545454546,0.9767441860465117,0.17294645309448242,21,22
2350,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.19867897033691406,24,26
2360,23,0,2,1.0,0.92,0.9583333333333334,0.18938875198364258,23,25
2370,23,0,2,1.0,0.92,0.9583333333333334,0.19544625282287598,23,25
2380,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.18346309661865234,21,23
2390,18,0,2,1.0,0.9,0.9473684210526316,0.13620758056640625,18,20
2400,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.1478579044342041,21,23
2410,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.14259791374206543,19,21
2420,18,0,2,1.0,0.9,0.9473684210526316,0.11958670616149902,18,20
2430,19,0,2,1.0,0.9047619047619048,0.9500000000000001,0.1269547939300537,19,21
2440,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11345744132995605,17,18
2450,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.10643291473388672,16,17
2460,15,0,1,1.0,0.9375,0.967741935483871,0.1003110408782959,15,16
2470,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.09511947631835938,14,15
2480,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.1081092357635498,16,17
2490,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11564373970031738,17,18
2500,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11388134956359863,17,18
2510,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11566042900085449,17,18
